isSolution;discardedSolutions;timeFirstSolution;timeQuery;timeAStar;timeTotal;solution
true;9;8;296;11;311;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/cloudStorage03&http://acg.ual.es/wookie/widgets/header13&http://acg.ual.es/wookie/widgets/histogram09
true;10;10;282;14;310;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/cloudStorage14&http://acg.ual.es/wookie/widgets/header03&http://acg.ual.es/wookie/widgets/histogram09
true;1;9;265;9;289;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/cloudStorage19&http://acg.ual.es/wookie/widgets/header17&http://acg.ual.es/wookie/widgets/histogram09
true;15;9;313;13;330;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/cloudStorage08&http://acg.ual.es/wookie/widgets/header04&http://acg.ual.es/wookie/widgets/histogram09
true;17;14;325;19;391;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/cloudStorage03&http://acg.ual.es/wookie/widgets/header02&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;11;13;309;17;357;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/cloudStorage17&http://acg.ual.es/wookie/widgets/header14&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;31;13;352;24;398;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/cloudStorage08&http://acg.ual.es/wookie/widgets/header12&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;23;13;336;20;372;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/cloudStorage12&http://acg.ual.es/wookie/widgets/header18&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;7;14;313;17;345;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/cloudStorage19&http://acg.ual.es/wookie/widgets/header04&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
true;15;13;338;18;374;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/cloudStorage03&http://acg.ual.es/wookie/widgets/header04&http://acg.ual.es/wookie/widgets/histogram09&http://acg.ual.es/wookie/widgets/legend22
