isSolution;discardedSolutions;timeFirstSolution;timeQuery;timeAStar;timeTotal;solution
true;0;0;59;0;73;root&http://acg.ual.es/wookie/widgets/map12
true;0;0;44;0;47;root&http://acg.ual.es/wookie/widgets/map08
true;0;0;38;0;42;root&http://acg.ual.es/wookie/widgets/map04
true;0;0;43;0;47;root&http://acg.ual.es/wookie/widgets/map06
true;0;0;51;0;54;root&http://acg.ual.es/wookie/widgets/map07
true;0;0;74;0;80;root&http://acg.ual.es/wookie/widgets/map01
true;0;0;53;0;58;root&http://acg.ual.es/wookie/widgets/map01
true;0;1;50;1;56;root&http://acg.ual.es/wookie/widgets/map01
true;0;1;56;1;61;root&http://acg.ual.es/wookie/widgets/map06
true;0;0;46;0;50;root&http://acg.ual.es/wookie/widgets/map07
true;10;2;99;5;108;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/histogram09
true;12;2;105;5;114;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/histogram09
true;15;2;75;5;83;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/histogram09
true;3;2;70;3;82;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/histogram09
true;4;2;78;3;90;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/histogram09
true;11;3;90;6;99;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/histogram09
true;9;3;103;5;112;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/histogram09
true;4;3;141;5;154;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/histogram09
true;8;2;398;4;455;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/histogram09
true;0;3;130;3;145;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/histogram09
true;0;5;158;5;167;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/header19&http://acg.ual.es/wookie/widgets/histogram09
true;8;5;138;8;158;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/header06&http://acg.ual.es/wookie/widgets/histogram09
true;6;5;163;8;182;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/header08&http://acg.ual.es/wookie/widgets/histogram09
true;15;5;146;10;160;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/header12&http://acg.ual.es/wookie/widgets/histogram09
true;15;5;152;9;172;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/header09&http://acg.ual.es/wookie/widgets/histogram09
true;12;6;189;9;202;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/header07&http://acg.ual.es/wookie/widgets/histogram09
true;9;5;181;8;202;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/header07&http://acg.ual.es/wookie/widgets/histogram09
true;5;6;176;8;189;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/header07&http://acg.ual.es/wookie/widgets/histogram09
true;4;5;166;7;184;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/header12&http://acg.ual.es/wookie/widgets/histogram09
true;8;5;157;7;177;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/header18&http://acg.ual.es/wookie/widgets/histogram09
true;8;6;203;8;216;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/header09&http://acg.ual.es/wookie/widgets/histogram09
true;10;5;205;9;235;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/header06&http://acg.ual.es/wookie/widgets/histogram09
true;0;5;194;5;203;root&http://acg.ual.es/wookie/widgets/map14&http://acg.ual.es/wookie/widgets/header05&http://acg.ual.es/wookie/widgets/histogram09
true;12;6;181;10;210;root&http://acg.ual.es/wookie/widgets/map11&http://acg.ual.es/wookie/widgets/header12&http://acg.ual.es/wookie/widgets/histogram09
true;0;5;180;5;190;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/header06&http://acg.ual.es/wookie/widgets/histogram09
true;6;5;228;7;249;root&http://acg.ual.es/wookie/widgets/map04&http://acg.ual.es/wookie/widgets/header03&http://acg.ual.es/wookie/widgets/histogram09
true;9;5;243;8;256;root&http://acg.ual.es/wookie/widgets/map08&http://acg.ual.es/wookie/widgets/header05&http://acg.ual.es/wookie/widgets/histogram09
